Epoch,Train Accuracy,Train Accuracy Std,Test Accuracy,Test Accuracy Std,Loss,Loss Std
0,0.09381663113006397,0.0,0.1052,0.0,0.05944644697884253,0.0
1,0.1023454157782516,0.004264392324093813,0.1061,0.000449999999999999,0.12066578421829098,0.030609668619724226
2,0.10874200426439233,0.0061139483063558115,0.1063,0.00047842333648024494,0.1130543668418805,0.027242837995735777
3,0.10660980810234541,0.005716314123008319,0.112,0.0026879360111431226,0.09810474178175936,0.023593571265399228
4,0.10021321961620469,0.005222792628535559,0.1123,0.0031018704034823878,0.1091865269916017,0.021587145003991816
5,0.07889125799573561,0.009956592555879103,0.1111,0.0030075830089218735,0.11077541116077,0.020104495650643282
6,0.08955223880597014,0.009728126361663912,0.1113,0.0029151959362860615,0.1001580595366482,0.01862280872625885
7,0.08955223880597014,0.009441892102301893,0.1057,0.0029605742686174908,0.09777559039752874,0.017466555438871965
8,0.11940298507462686,0.011504203309338056,0.1075,0.002818764285775848,0.09413250367333895,0.016614473182035152
9,0.09168443496801706,0.011120174678384049,0.1107,0.002746561486659273,0.0944708728237447,0.01586080120400745
10,0.09381663113006397,0.010673308701636908,0.1074,0.0026503703156195656,0.09823221389228093,0.015129200110308704
11,0.10874200426439233,0.011036744210495646,0.1136,0.0027430453005120353,0.09376648641916226,0.008686203025827384
12,0.1300639658848614,0.014209647457345419,0.1094,0.002532107866567672,0.09447504969230339,0.006845282656529054
13,0.12153518123667377,0.015235560079960134,0.1092,0.0022989397484366905,0.09543435019788457,0.0056478337561189935
14,0.08742004264392324,0.015780680315601956,0.1114,0.0022580251738965216,0.09720330561465546,0.005663465295890728
15,0.11727078891257996,0.016452099378889664,0.1085,0.0021628340758526594,0.09549440143268499,0.00463058601543949
16,0.11940298507462686,0.015235560079960134,0.1114,0.0021831435368475757,0.09718524763134243,0.0019423605630692813
17,0.09381663113006397,0.014855984691885806,0.1097,0.0021204630712095985,0.0956800142839265,0.0014889243393018915
18,0.10660980810234541,0.013850800608606198,0.1095,0.0017505135019933906,0.09475979272490626,0.001373963775568063
19,0.11300639658848614,0.013496332766450249,0.1073,0.0017756386349658748,0.09539838853294152,0.0013032551036793116
20,0.11940298507462686,0.01286639021149532,0.1123,0.0019021953389276342,0.095825075070614,0.0012493303151713173
21,0.10660980810234541,0.011882637816626558,0.1089,0.0017614325499715204,0.09567600291675088,0.0009776652301097522
22,0.09168443496801706,0.013155169219582982,0.1127,0.0016119389279491978,0.09640367630956524,0.0008258626584080787
23,0.13219616204690832,0.013465675078859008,0.1096,0.0016058776339455641,0.09756630900572104,0.0008605996474148426
24,0.11727078891257996,0.01318369922320756,0.1072,0.0017935605660618832,0.0986434225080364,0.0011083524810522201
25,0.12153518123667377,0.01152957732736038,0.1113,0.0017859877004379656,0.09886710072504178,0.0013098664892970645
26,0.09808102345415778,0.012129860707239397,0.1119,0.0018187271909336242,0.09752931496672539,0.0012984354466459135
27,0.1044776119402985,0.011933121900850075,0.1095,0.0017829773594924866,0.0995420244202685,0.0015360207499962241
28,0.10021321961620469,0.011292507589555733,0.1097,0.0017829773594924864,0.09996092527596427,0.0017102564424383944
29,0.11087420042643924,0.011239146357297322,0.1153,0.002332699638467365,0.09965697183474295,0.0016295882997211756
30,0.13432835820895522,0.01317799816381743,0.1165,0.002655821611055996,0.10215455141148842,0.0018866420816901236
31,0.11513859275053305,0.01302889503919834,0.1108,0.0026422504808033976,0.10177740561110633,0.0019383963642572962
32,0.1023454157782516,0.013246248934498845,0.1117,0.0025395385798107316,0.10149432623437218,0.0017766002901251448
33,0.11300639658848614,0.011646302683310567,0.1072,0.002778845708396632,0.10501237412187844,0.0021361841868767087
