Epoch,Train Accuracy,Train Accuracy Std,Test Accuracy,Test Accuracy Std,Loss,Loss Std
0,0.09381663113006397,0.0,0.1009,0.0,0.06650166073714746,0.0
1,0.1023454157782516,0.004264392324093813,0.1009,0.0,0.0926478565819482,0.01307309792240037
2,0.10874200426439233,0.0061139483063558115,0.1135,0.0059396969619669995,0.09407200124154468,0.01267445120746868
3,0.12366737739872068,0.010911241732653898,0.1143,0.006506150935845247,0.09495653271643338,0.011888985294896123
4,0.1279317697228145,0.012821574736352159,0.1184,0.007295478051505604,0.09789310880243651,0.01148516881211446
5,0.11513859275053305,0.01179151387564823,0.1891,0.030367183493589477,0.09810274731375769,0.01099532931178314
6,0.13646055437100213,0.01388519198299297,0.1394,0.028704824311873257,0.0989656666798124,0.010583047797334608
7,0.16631130063965885,0.021253554978613674,0.1492,0.027998144469767988,0.09979509729057995,0.010240021972596942
8,0.12153518123667377,0.02003821886168254,0.1673,0.029115177832994825,0.09901370832533725,0.00984575619523848
9,0.15565031982942432,0.02155628175245155,0.1502,0.028123719526406885,0.09996864754063234,0.009536935819227729
10,0.13646055437100213,0.02080827586791183,0.1605,0.02785109757915541,0.10142399675683426,0.009327780732281108
11,0.1535181236673774,0.019395228147081202,0.163,0.02627128967441501,0.10263818265723267,0.0029458040744031987
12,0.14072494669509594,0.017136682384415854,0.1559,0.022928718143465397,0.10240018353469844,0.0026095187995268227
13,0.14712153518123666,0.015213348998138077,0.1542,0.020301964241573173,0.10230868260489344,0.0022372038153548068
14,0.13646055437100213,0.014500177716041904,0.1604,0.01672761857349981,0.10280690993517955,0.0017967541221249506
15,0.17057569296375266,0.016397197893046406,0.1712,0.012513358151647579,0.10353047367352158,0.001788804289039137
16,0.1791044776119403,0.016602142357328053,0.1763,0.010123518155004752,0.10452488414260117,0.0017972881089676185
17,0.19402985074626866,0.020337084006364026,0.178,0.009431843373460333,0.10501230730494457,0.0018379534169550937
18,0.17697228144989338,0.021107665110046196,0.1802,0.009699671971960512,0.10747299197195435,0.002234139347305593
19,0.16844349680170576,0.018341844919067436,0.1793,0.010515050213467146,0.10756512769440343,0.002259520602325576
20,0.19402985074626866,0.020697838334499268,0.1811,0.009953619716190961,0.1067863944401619,0.00210703604126007
21,0.16417910447761194,0.018870909171345995,0.1833,0.01031434049441411,0.1069656060353271,0.002038583451191855
22,0.19829424307036247,0.020513675604299987,0.18,0.010247378217406561,0.10783140219922767,0.0021002706644191954
23,0.2025586353944563,0.02019246620369129,0.1797,0.0088907324764016,0.11011240277081918,0.0023238125758047227
24,0.18336886993603413,0.018125481260028626,0.1786,0.006041222031705479,0.1094805898982833,0.0022284480533581686
25,0.18763326226012794,0.012247000580679446,0.176,0.003039981513645402,0.11104084703840934,0.0022271225184436923
26,0.16417910447761194,0.012979778284770854,0.1763,0.0021459552574418085,0.1103207471369426,0.002028352616657758
27,0.17057569296375266,0.013434947432574885,0.1753,0.0022749443731279306,0.1105799698975803,0.0018458618263065506
28,0.18976545842217485,0.013146598145232155,0.1755,0.002469181950390093,0.1113093658201476,0.0016509682661914565
29,0.1812366737739872,0.013060578040645875,0.1767,0.0024762007689066484,0.11160231489680215,0.0017194972647099117
30,0.16204690831556504,0.013782817472092404,0.1742,0.002719564865534786,0.11254408996877895,0.0018243794875630241
31,0.17697228144989338,0.01324908508674942,0.1736,0.0027670134868416573,0.11205721379660849,0.0016336817785158981
32,0.17697228144989338,0.012332602225692475,0.1728,0.0022632894951470453,0.11227388168448832,0.0013159482979093016
33,0.18763326226012794,0.011332363622596216,0.176,0.0019272298451490045,0.11213696655878888,0.0009564309396559638
34,0.19829424307036247,0.010613296237258247,0.1732,0.0016412049594758929,0.11260303289397185,0.0009613936289477984
35,0.17484008528784648,0.010641579555193492,0.1733,0.0013513996417549956,0.11274151270514104,0.000797175268820285
36,0.1791044776119403,0.010297053681173427,0.174,0.0013129362714513445,0.11328898578373862,0.0008745315265793637
37,0.17270788912579957,0.00949202911160713,0.1732,0.0012550723531216206,0.11339741486158453,0.0007970598649424824
38,0.14498933901918976,0.013560211228837145,0.1725,0.0013180250690501384,0.11353233469320513,0.0006853579424058265
39,0.16631130063965885,0.01318939781833999,0.1734,0.0012504544628399545,0.11278844151352006,0.000575013530311756
40,0.1791044776119403,0.01310652568666561,0.1743,0.000904351281123336,0.11395462221110553,0.000589068894976771
41,0.17484008528784648,0.01250805644884798,0.1732,0.0008979315072629624,0.11349229536839385,0.0006075047040852458
42,0.16844349680170576,0.012663293639124698,0.1726,0.0009419515525082617,0.11355477784361158,0.0005620092343121181
43,0.17484008528784648,0.012645478914750994,0.1747,0.0009714945459921843,0.11344091805504329,0.0005095073253606618
44,0.1791044776119403,0.012073976741537073,0.1723,0.0007138534701600206,0.11349870722049843,0.0003945896860687622
45,0.19402985074626866,0.011329047641948019,0.1739,0.0007298816840606921,0.11417996279720559,0.0004019512493201009
46,0.17270788912579957,0.011322412767210884,0.1743,0.0007727807468128522,0.11483771021940561,0.0005074033853310905
47,0.17484008528784648,0.011188889079016719,0.1717,0.0009063595331356039,0.11360974323902048,0.0004958644542275239
48,0.15778251599147122,0.012005320850709069,0.1718,0.0010021464566924137,0.11326852669593876,0.000503453379641734
49,0.21108742004264391,0.013640327261685736,0.1725,0.0010021464566924137,0.11478872200065075,0.0005973900529653098
50,0.16417910447761194,0.013812771274525966,0.1731,0.0009991732119297532,0.11546359408194068,0.000688005817873337
51,0.1513859275053305,0.01566837788560668,0.1746,0.0010342881929693022,0.11458139760153634,0.0007069083942633919
52,0.15778251599147122,0.016417807464903813,0.1726,0.0010462052640593318,0.11406737098942941,0.0006834885693041262
53,0.17697228144989338,0.01637197318377877,0.1742,0.0010773398521473129,0.11466002880510237,0.0006745750393075672
54,0.19829424307036247,0.017799170821087798,0.1723,0.0010009912442546047,0.11467259177076283,0.0006375199067689118
55,0.18763326226012794,0.018092284380039594,0.1748,0.0010899237974727985,0.11491443586946805,0.000598443504268873
56,0.16204690831556504,0.017682689779880568,0.174,0.0010956714232691288,0.11433404815921397,0.0005935418679661062
57,0.1791044776119403,0.017733611958104557,0.1745,0.0011142206259560016,0.113991323294543,0.0005960736954295611
58,0.12366737739872068,0.02300205524182219,0.1712,0.0011857277989585724,0.11471142202043838,0.0005460721301263618
59,0.1535181236673774,0.02323931337895087,0.1731,0.001098232990981122,0.11489124364181877,0.00039208482095848116
60,0.17270788912579957,0.019296178119394946,0.1721,0.0011320280929843502,0.11453611829451152,0.00039028772109633424
61,0.1300639658848614,0.02192147357646355,0.1717,0.0012243399301104297,0.1145464979858795,0.00028499707897802724
62,0.16844349680170576,0.021645503818792215,0.1712,0.0012582947926157721,0.11578697561899991,0.00045943740006395585
63,0.16844349680170576,0.021558538807364656,0.1738,0.001280947479907352,0.11454986906382067,0.0004236898786545134
64,0.2068230277185501,0.024504736409542312,0.173,0.001223124301880739,0.1148338461640293,0.000425499403533285
65,0.18336886993603413,0.023181036937147157,0.1723,0.001223124301880739,0.11540428479152448,0.0004699174722399468
66,0.17270788912579957,0.02234921684689466,0.1733,0.00107649569214494,0.1150550037336502,0.00047547559452231956
67,0.18550106609808104,0.023023280126072868,0.1743,0.0011111753884070958,0.11576380289948063,0.0005269331937666246
68,0.16417910447761194,0.02274746362036147,0.1711,0.0010593932459605298,0.11497493045352923,0.0004385659489409687
69,0.17270788912579957,0.018329550082526187,0.1721,0.0009912009578501141,0.11423641802278409,0.0004861418329438315
70,0.15565031982942432,0.018156548210655543,0.1737,0.0010357254813546297,0.11566500767652414,0.0005252602076359035
71,0.1513859275053305,0.01898603727541908,0.1723,0.001028518954453163,0.11451573738220658,0.000527039294926467
72,0.17057569296375266,0.014461257959755367,0.1741,0.001064529539513053,0.11500253056539401,0.0005048268990047446
73,0.18550106609808104,0.01483067203984382,0.1732,0.000932073135852822,0.11546530846212465,0.0004707090467144366
74,0.15778251599147122,0.015511726321955849,0.1731,0.0008998622484112233,0.11458552401584349,0.0004674172990056392
75,0.19616204690831557,0.013601709473036506,0.1749,0.0010600951150215533,0.1152560599068843,0.000465779415908161
76,0.14498933901918976,0.01515396029129061,0.1725,0.0010473895136903133,0.11449448819925535,0.0004820646235845004
77,0.1513859275053305,0.015880363751319283,0.175,0.0011762807333440266,0.11552711565103103,0.0005053838086892419
78,0.21108742004264391,0.019820621098917177,0.1737,0.0011420584576374152,0.11508537048914794,0.00045243320423598974
79,0.15991471215351813,0.019956639156788136,0.1745,0.0009661202977642387,0.11485000706112969,0.00045404792688659434
80,0.14072494669509594,0.021453715469256302,0.1739,0.0008515421110797432,0.11465607127591745,0.00040576732547919597
81,0.2046908315565032,0.02382054562697892,0.1696,0.001458743940620668,0.11487182097902685,0.0003494156206817615
82,0.15565031982942432,0.023541302193237294,0.1712,0.0015610973042665946,0.11577988697140455,0.0003965789466031721
83,0.16631130063965885,0.023576388497393467,0.1719,0.0015796223002889787,0.11588672349956244,0.0004624948216740017
84,0.15778251599147122,0.02330550628445689,0.1746,0.0016421111185360856,0.11540854660305641,0.0004590575781406967
85,0.16417910447761194,0.023125863232322907,0.1745,0.0016852299546352711,0.11604950799426036,0.0004935795108853446
86,0.19189765458422176,0.0226895798356245,0.1738,0.001618641405623864,0.11612988223653359,0.0005531893573311695
87,0.1791044776119403,0.021631612911654,0.1738,0.0016106566598853573,0.11591071654548014,0.0005040601312015762
88,0.15778251599147122,0.021173424003754795,0.1734,0.0015220147586734616,0.1155970607167368,0.0005051968787133867
89,0.1535181236673774,0.017616697449120776,0.1715,0.0015829149802534376,0.11490868537156566,0.0005199252550343879
90,0.14925373134328357,0.018235014268488833,0.1723,0.001514830268974598,0.116171850387984,0.0005180389031595356
91,0.14925373134328357,0.017322043506686483,0.174,0.0015218518514793868,0.11514678281316879,0.00045376951977469765
92,0.13432835820895522,0.014772288337474434,0.1714,0.0012419659169409496,0.11461208427130286,0.0004969838061478992
93,0.1513859275053305,0.014934181263235683,0.173,0.001113107481091923,0.11485680200652018,0.0005359556835298346
94,0.17697228144989338,0.01567077567854835,0.174,0.001068558927630187,0.11574324770077968,0.0005284743553609426
95,0.18763326226012794,0.017449548261177592,0.1747,0.0010799449021758137,0.11477900752380713,0.0005682188443103966
96,0.17057569296375266,0.017578265630943415,0.1732,0.0010121575025248534,0.11430355777809106,0.00061903967382538
97,0.17057569296375266,0.01541453409736076,0.1735,0.0009993386242662715,0.11538169884097094,0.0005611112323347669
98,0.2046908315565032,0.019286439951669315,0.1746,0.001069641169460558,0.11570644742453784,0.0005409366070960733
99,0.15565031982942432,0.01936032717842027,0.1752,0.0012105596001248911,0.11592357594575455,0.0005700494833500455
