Epoch,Train Accuracy,Train Accuracy Std,Test Accuracy,Test Accuracy Std,Loss,Loss Std
0,0.09381663113006397,0.0,0.1072,0.0,0.05210760827543639,0.0
1,0.1023454157782516,0.004264392324093813,0.1108,0.001799999999999996,0.06877860257715813,0.008335497150860873
2,0.12153518123667377,0.011591689005188406,0.1215,0.006073073539997865,0.07399648939495657,0.00933494932745802
3,0.10660980810234541,0.01004341347623495,0.1261,0.0076827729369024,0.07690249041898418,0.009596549140988534
4,0.14072494669509594,0.01651592045291009,0.1314,0.009122499657440384,0.07973313507939707,0.009793044987311797
5,0.15778251599147122,0.02248936365642749,0.1415,0.011712588194853522,0.08300858008454857,0.010116249608755594
6,0.13859275053304904,0.021765543813524028,0.1442,0.01312206429753228,0.08533714789507994,0.01039932799761846
7,0.15991471215351813,0.023729664574713646,0.1445,0.013700182480536524,0.08745164748257411,0.010660347243741828
8,0.1812366737739872,0.027999595740713867,0.1506,0.014680448070667174,0.08913807011743598,0.010875959782890155
9,0.13859275053304904,0.02660464796066754,0.1439,0.014465548727925947,0.09160922334265353,0.011165599548427415
10,0.14285714285714285,0.025490725687934795,0.1546,0.015225245455280964,0.09178225443497903,0.01128061363934412
11,0.1535181236673774,0.02232230223005898,0.1592,0.014139324448776493,0.09372486185226868,0.007709956982476353
12,0.14925373134328357,0.018870909171345995,0.1595,0.012115825318173581,0.09471926590336412,0.0066598063486807
13,0.1812366737739872,0.020007407529888218,0.1607,0.010860946795250234,0.09596725648590751,0.005982222219262724
14,0.1044776119402985,0.02043292723877408,0.1546,0.008784368159801947,0.09645115005881039,0.005242308109611283
15,0.15991471215351813,0.020399801693231818,0.1585,0.006970433426176624,0.09659696564173648,0.00445034366047435
16,0.16204690831556504,0.020553930826612235,0.1559,0.006187150106978256,0.0971836824851758,0.0038332705091137873
17,0.15991471215351813,0.020203627401892434,0.1604,0.005761356015774054,0.09858743271339676,0.003377639000968645
18,0.18976545842217485,0.022681298664563015,0.1595,0.004878168603648282,0.09967056398135005,0.0030591952179431932
19,0.13432835820895522,0.022053053154995762,0.1624,0.004842050654986433,0.10008036667731271,0.002741126211131349
20,0.16631130063965885,0.021919759555304796,0.1594,0.002412262063802939,0.10017399599493694,0.002585717316148484
