Epoch,Train Accuracy,Train Accuracy Std,Test Accuracy,Test Accuracy Std,Loss,Loss Std
0,0.09381663113006397,0.0,0.1009,0.0,0.06754179221035829,0.0
1,0.1023454157782516,0.004264392324093813,0.1108,0.004949999999999996,0.09163364273970569,0.012045925264673699
2,0.10874200426439233,0.0061139483063558115,0.118,0.00700999286732875,0.09249424770760384,0.011565191731999599
3,0.13646055437100213,0.015982584595485017,0.1279,0.009879524280045071,0.09496695881904062,0.011105032637335446
4,0.12366737739872068,0.01525675379104334,0.1247,0.009749789741322634,0.09804510425275831,0.010927019483840868
5,0.1300639658848614,0.01530963697834969,0.1449,0.01384027938060982,0.0985483002942254,0.0105986643136408
6,0.13219616204690832,0.015284702150830795,0.1339,0.01356238796624469,0.10041611762379786,0.010403446843946344
7,0.13219616204690832,0.01502971447747514,0.133,0.0131092464981783,0.10042208337834649,0.010126908718573536
8,0.12366737739872068,0.01421858904347184,0.1429,0.013677150450457304,0.10019224245093271,0.009811025461856804
9,0.14285714285714285,0.015084440218186772,0.1461,0.014266145239692466,0.09990861546446773,0.00948586205564331
10,0.1300639658848614,0.014541577308401667,0.1413,0.014105540790474344,0.10233731888758857,0.009326626937793129
11,0.1257995735607676,0.011165358266264521,0.14,0.011048024392406394,0.10217591370346704,0.0035142906107334055
12,0.11727078891257996,0.008853023645411308,0.1329,0.008546170182800508,0.10199340663230749,0.002947990271506048
13,0.12153518123667377,0.006940303853447628,0.1387,0.006652992864086566,0.10178511443613435,0.002109679589576898
14,0.1257995735607676,0.006521652971994851,0.1437,0.0062397684847918565,0.1018772533040311,0.0014082758871435332
15,0.1257995735607676,0.006428813317223104,0.1423,0.004558726079846694,0.10191939467750886,0.001163400577405727
16,0.1513859275053305,0.009336378816663925,0.1428,0.004389205391291479,0.10233098192255634,0.000902139718899478
17,0.13859275053304904,0.009656847223943518,0.1471,0.0044213980063525764,0.10286674219598649,0.0009346015956537995
18,0.14925373134328357,0.011077520497948865,0.1371,0.003871425303980119,0.1042691073787492,0.00112222493215379
19,0.1300639658848614,0.010788850591258572,0.1398,0.003861486032625953,0.1044588526651295,0.0011771740658013858
20,0.13646055437100213,0.010384256821848322,0.1397,0.0035279287112604148,0.10270223791983082,0.0008873058415599737
21,0.11727078891257996,0.011219070462095585,0.1424,0.0035648420965806817,0.10304877432043365,0.0008909526453741478
22,0.1279317697228145,0.011148520135335068,0.1426,0.0036038088207518662,0.10339357613373412,0.0008976545675715501
23,0.11940298507462686,0.010923824619969272,0.1449,0.0027554304009019884,0.1040474875554093,0.0009265482407045816
24,0.14072494669509594,0.010767935190797558,0.1438,0.002599586744017101,0.1036643363011163,0.0008628929590474673
25,0.13859275053304904,0.010620374128166485,0.1464,0.0028297416872444274,0.10386653606698457,0.0007833488303480214
26,0.14925373134328357,0.011077520497948863,0.1455,0.002943349416077536,0.10351873681679971,0.0006453532240929753
27,0.1279317697228145,0.010183311135153085,0.1425,0.002945707059883015,0.10391002634504456,0.0005436939210532493
28,0.13859275053304904,0.010183311135153085,0.1434,0.002641405836555305,0.10382935285631782,0.0004914455618941835
29,0.1300639658848614,0.009021187267470511,0.1423,0.002013631233319957,0.1046215565696454,0.0005368441777707273
30,0.12153518123667377,0.009539410582953501,0.1413,0.0018331655320152065,0.10470900246138766,0.0005713077416952971
31,0.17270788912579957,0.015215818497220673,0.1423,0.001510568827236341,0.10450905070566674,0.0005001497234190741
32,0.14285714285714285,0.014267700112097648,0.1428,0.0014907427845160842,0.105167067587884,0.0005343193365537228
33,0.1257995735607676,0.014406593662385765,0.1413,0.0015998966908796306,0.10466451909559876,0.0005028713212075313
34,0.1279317697228145,0.013645835167123891,0.145,0.001609116589420137,0.10491549948067554,0.0005354100171339393
35,0.13859275053304904,0.013618273363248919,0.141,0.0017310485046987635,0.10565571625158986,0.0006178621111336303
