Epoch,Train Accuracy,Train Accuracy Std,Test Accuracy,Test Accuracy Std,Loss,Loss Std
28,0.417910447761194,0.018253548931178226,0.432,0.004007369244836664,0.13268534985305405,0.001693566496926963
29,0.43710021321961623,0.014385714530164365,0.4329,0.0032893768406797035,0.13337924604667528,0.0015316614184604305
30,0.4200426439232409,0.014802778129123317,0.437,0.0030913636029460917,0.13352672480888714,0.001405341065938841
31,0.44776119402985076,0.015385256703225,0.4385,0.003173573734441016,0.13404022722737366,0.0012804909361918398
32,0.4861407249466951,0.019495702206908563,0.4334,0.003270327402923758,0.13441042695790212,0.0011649186538923069
33,0.47974413646055436,0.022407979866824464,0.4403,0.003218977816297935,0.13488245293148546,0.001121846563379495
34,0.417910447761194,0.02325547536252969,0.4337,0.0032809240786579328,0.13556172168140473,0.0012653520194480742
35,0.44136460554371004,0.023239313378950875,0.4414,0.0035469227729152558,0.13576550135162593,0.0013274359808972298
36,0.40298507462686567,0.02480646643803834,0.446,0.004341934671804141,0.13603417742163387,0.0013524789084454396
37,0.4541577825159915,0.02480646643803834,0.4427,0.0045284591362581995,0.13613447111679802,0.0012713771745493441
38,0.4349680170575693,0.024770088855560982,0.4431,0.004582990470521685,0.13690009592438557,0.0012809634368564347
39,0.39445628997867804,0.027445427440089716,0.4401,0.004145853250363998,0.1362042584970816,0.001131816154762302
40,0.42217484008528783,0.027816650015784688,0.4386,0.0036799434059608042,0.13645370960680406,0.0010308889819012465
41,0.42430703624733473,0.02761329929433556,0.4331,0.004073214256599489,0.13619576639203884,0.0008483780967578673
42,0.4136460554371002,0.028130942067139033,0.4367,0.004132675678596478,0.1363586678719724,0.0006846993719780355
43,0.47547974413646055,0.026444234156004047,0.4378,0.0037671919963269906,0.13720974392855345,0.0005985232711078523
44,0.44776119402985076,0.022606631616772937,0.4329,0.004185531947787573,0.13845128921875313,0.0007650967806877249
45,0.43283582089552236,0.02229029891291344,0.4438,0.004086644241553794,0.13807510413022947,0.0008296104017149681
46,0.4115138592750533,0.022711096748791335,0.4407,0.004064358284460511,0.13771725147327127,0.0008177919437321545
47,0.44349680170575695,0.021516670752686432,0.4394,0.003525350929135096,0.13815006345256306,0.0008434931605495806
48,0.44776119402985076,0.020997012852370052,0.4326,0.003747991197498856,0.1384516116271395,0.0008706287744390314
49,0.42430703624733473,0.02106846792652834,0.4349,0.003479835656801493,0.13868117569161376,0.0009458120082718721
50,0.47121535181236673,0.02061416626655619,0.4346,0.0034404256895942125,0.13915585834525032,0.0009726710574507556
51,0.4157782515991471,0.021127236430996267,0.436,0.00339958675174566,0.13857462535153575,0.0009111708904073927
52,0.39445628997867804,0.024278299378718633,0.4391,0.0032747720884673684,0.13882861823351908,0.0007629073745307335
53,0.4200426439232409,0.023847344833075712,0.4354,0.0033116373818339916,0.13969367121391968,0.0006440503795931849
54,0.42430703624733473,0.020203627401892438,0.4392,0.0033656996129033077,0.13928366773354728,0.0005488708451349109
55,0.464818763326226,0.022053053154995766,0.4401,0.003170890325215525,0.13975399440285494,0.0006295390778893862
56,0.4157782515991471,0.022525046010985005,0.4334,0.002765489809111128,0.13968000835828434,0.0006396763812648295
57,0.44136460554371004,0.02188545094207784,0.4365,0.0024837987435271606,0.13926403129151635,0.0005220002583802735
58,0.4157782515991471,0.02212958810081424,0.4375,0.0023358860495245955,0.13928758472140665,0.00044035246247132987
59,0.36673773987206826,0.027894881547894528,0.4399,0.002224766679195706,0.14036932152344475,0.0005041638939091421
60,0.4051172707889126,0.02836371346980476,0.4345,0.0022611706176189936,0.1398157586039765,0.0004772846015148915
61,0.4669509594882729,0.027701601217212393,0.4335,0.002382928263174954,0.14046332071712023,0.0005517273403452486
62,0.44776119402985076,0.02866152415471917,0.4378,0.002382303906059518,0.1405894037312282,0.0005326925545467049
63,0.4605543710021322,0.02878317969551754,0.4418,0.002704297162017496,0.14079804681956387,0.000530628034582782
64,0.4157782515991471,0.028941995424168015,0.4432,0.0031204206116144705,0.14070059150965739,0.0005709116409907159
65,0.4093816631130064,0.029500032929802675,0.434,0.0032841467437845634,0.14124844550514526,0.0006236139240607256
66,0.4690831556503198,0.03000265944449955,0.4406,0.003323420522134109,0.14060659252250118,0.0006189232289697423
67,0.417910447761194,0.029926171503694945,0.4376,0.00305911454806482,0.14089984859802576,0.0006149390737083204
68,0.43923240938166314,0.029850746268656716,0.4341,0.0032318917009921864,0.14081907026104326,0.0005157488620046865
69,0.42857142857142855,0.029577622888486102,0.4439,0.003690349263409962,0.1410232356934151,0.0003599251301201724
70,0.4562899786780384,0.022624906317371397,0.4375,0.003657958605154633,0.14075635267155512,0.00034785024466635133
71,0.44349680170575695,0.020125369028753504,0.4379,0.003484866930122467,0.14143298810987331,0.00027675770672626885
72,0.43710021321961623,0.018433794809798402,0.4349,0.003327247888630589,0.1414375306128947,0.0002945069781722413
73,0.42217484008528783,0.018749063445386707,0.434,0.003568618965694443,0.14140604093257805,0.000300283065390251
74,0.4584221748400853,0.018507025799232434,0.4288,0.00424764397505758,0.14185403045942027,0.00037590628355890955
75,0.42643923240938164,0.017676314192949027,0.4412,0.00401272768463976,0.14178246472563064,0.00039743738048573856
76,0.43070362473347545,0.015574576023726056,0.4415,0.004119435891735141,0.14178953415104575,0.00043165185353007763
77,0.44349680170575695,0.01252606661864976,0.4357,0.004018922186008344,0.1423728992340407,0.0004856427556228757
78,0.4541577825159915,0.011898437102712014,0.4368,0.004014807303713393,0.1424041738324582,0.0005307999544185328
79,0.4562899786780384,0.0127755433636628,0.436,0.003929018972039283,0.1420843422349328,0.0004952910191336171
80,0.3816631130063966,0.021350137333614058,0.4391,0.0033785663740411587,0.14231536886903015,0.0004815753924245157
